nombrecompleto,CostoPasajes,CostoViaticos,CantidadViajes,TotalViaje,CostoPerViaje,Institución
Aaron Gonzalez,1972,2100,1,4072,4072,Ministerio de la Presidencia
Abdias Slatér,0,2520,1,2520,2520,MEF
Abdiel Bethancourt,0,10860,2,10860,5430,MITRADEL
Abdiel Patiño,0,6900,2,6900,3450,Ministerio de la Presidencia
Abdul Rodriguez,0,4800,2,4800,2400,Ministerio de Seguridad Pública
Abel Barrías,0,630,1,630,630,Ministerio del Ambiente
Abelardo Muñoz,0,4500,1,4500,4500,Ministerio de Seguridad Pública
Abraham Bozo,609,0,1,609,609,Ministerio de la Presidencia
Abraham Herrera,700,11700,12,12400,1033,Ministerio del Ambiente
Adalina Campos,1306,1875,5,3181,636,MEF
Adelizabeth Rodriguez,7085,18000,3,25085,8362,Ministerio de la Presidencia
Adolfo Martinez,699,0,1,699,699,Ministerio de la Presidencia
Adriana Chung,0,900,2,900,450,MINSA
Adriana Correa,2542,2400,1,4942,4942,MICI
Agustín Corrales,2500,6000,1,8500,8500,Ministerio del Ambiente
Agustin Ordoñez,0,2490,2,2490,1245,MINSA
Agustín Rodríguez,0,3435,2,3435,1718,Ministerio del Ambiente
Agustin Saldaña,0,1050,1,1050,1050,MINSA
Aida Arias,0,1755,2,1755,878,MEF
Aida Batista,1500,1305,2,2805,1403,MIDES
Aída Martínez,0,315,4,315,79,ANTAI
Aixa Jaramillo,1217,4200,1,5417,5417,MEF
Alan Rivier,0,1050,1,1050,1050,MINSA
Alba Bravo,501,1600,1,2101,2101,MOP
Alberto Alemán,2717,7600,4,10317,2579,MICI
Alberto Delgado,690,3000,1,3690,3690,Ministerio de la Presidencia
Alberto Lo Polito,1462,6553,2,8015,4007,MITRADEL
Alberto Prestán,1257,2700,1,3957,3957,MEF
Alberto Rangel,0,2100,1,2100,2100,MINSA
Aldacira Bradshaw,0,400,1,400,400,MINSA
Alejandra Pérez,0,4140,1,4140,4140,MEF
Alejandro Lasso,0,6800,2,6800,3400,MITRADEL
Alejandro Melo,952,4870,3,5822,1941,Ministerio de la Presidencia
Alejandro Mendoza,0,5400,1,5400,5400,MITRADEL
Alejandro Tuñon,1512,4300,3,5812,1937,Ministerio de la Presidencia
Alejandro Vernaza,1758,5850,1,7608,7608,MEF
Alex Cruz,0,1750,1,1750,1750,Ministerio del Ambiente
Alex De Gracia,0,6300,3,6300,2100,Ministerio del Ambiente
Alex Montenegro,2774,3325,3,6099,2033,Ministerio de la Presidencia
Alex Perez,67360,38550,17,105910,6230,Ministerio de la Presidencia
Alex Van Der Hans,0,2000,1,2000,2000,AIG
Alex Villa,0,5200,3,5200,1733,Ministerio de Seguridad Pública
Alexa Espino,2030,12135,5,14165,2833,MITRADEL
Alexander Montero,0,1335,4,1335,334,Ministerio del Ambiente
Alexander Santoya,9099,24200,10,33299,3330,MICI
Alexia Soto,0,9600,1,9600,9600,Ministerio de Seguridad Pública
Alexis Almanza,256,7200,3,7456,2485,Ministerio de Seguridad Pública
Alexis Bethancourt,9383,27860,13,37243,2865,Ministerio de la Presidencia
Alexis Pineda,3824,6200,4,10024,2506,MICI
Alexis Quiroz,0,500,1,500,500,Ministerio del Ambiente
Alexis Rodríguez,0,19190,7,19190,2741,Ministerio del Ambiente
Alfonso Quirós,0,4230,2,4230,2115,MIDES
Alfonso Serrano,0,300,2,300,150,Ministerio del Ambiente
Alfredo Molto,0,300,1,300,300,MINSA
Alfredo Peña,0,2400,1,2400,2400,Ministerio de Seguridad Pública
Alfredo Suescum,2715,2850,3,5565,1855,MICI
Alibis Herrera,645,630,1,1275,1275,MEF
Alina Rodriguez,0,630,1,630,630,Ministerio del Ambiente
Alis Mosquera,2561,2700,1,5261,5261,Ministerio de la Presidencia
Aljedrando Varela,800,0,1,800,800,Ministerio de la Presidencia
Alma González,0,315,1,315,315,MEF
Alvaro Aleman,918,900,2,1818,909,Ministerio de la Presidencia
Alvaro Lozano,2449,3925,2,6374,3187,MINSA
Alvaro Montenegro,2115,9150,3,11265,3755,MEF
Alvaro Sánchez,0,5160,3,5160,1720,Ministerio del Ambiente
Alvaro Varela,0,1200,1,1200,1200,Ministerio de Seguridad Pública
Alvaro Ventura,0,4000,1,4000,4000,Ministerio de Seguridad Pública
Alvin Alvarado,0,500,1,500,500,Ministerio de Seguridad Pública
Alvin Alzamora,0,3150,1,3150,3150,Ministerio del Ambiente
Amanda Edith,0,600,1,600,600,Ministerio de Seguridad Pública
Amed Arosemena,1362,6750,2,8112,4056,MITRADEL
Ameth Barria,0,2500,1,2500,2500,Ministerio de Seguridad Pública
Ameth Cerceño,0,720,1,720,720,MINSA
Ameth Perez,4428,5400,1,9828,9828,Ministerio de la Presidencia
Ameth Sanchez,1972,2100,1,4072,4072,Ministerio de la Presidencia
Ana Aguilar,0,16165,11,16165,1470,Ministerio del Ambiente
Ana Alfonso,5955,13200,6,19155,3193,MICI
Ana Candanedo,0,300,1,300,300,Ministerio del Ambiente
Ana Carmen,0,1530,2,1530,765,Ministerio del Ambiente
Ana Castillo,8451,0,2,8451,4226,Ministerio de la Presidencia
Ana Concepción,0,1700,3,1700,567,Ministerio del Ambiente
Ana Cristina,0,660,1,660,660,MIDES
Ana De León,30094,11850,7,41944,5992,Ministerio de la Presidencia
Ana Domínguez,0,15520,4,15520,3880,Ministerio del Ambiente
Ana Gonzalez,0,270,1,270,270,MINSA
Ana Henríquez,999,2000,1,2999,2999,MICI
Ana Lopez,0,10400,5,10400,2080,Ministerio del Ambiente
Ana Reyes,4554,10250,6,14804,2467,Ministerio de la Presidencia
Ana Rodríguez,0,630,1,630,630,Ministerio del Ambiente
Ana Saucedo,1365,0,1,1365,1365,MINSA
Ana Tuñón,0,7425,4,7425,1856,Ministerio del Ambiente
Anabel Broce,1849,3000,1,4849,4849,AIG
Anadela Del Cid,673,2450,1,3123,3123,MEF
Anarella Jaen,0,6200,5,6200,1240,MINSA
Anastacio González,0,630,1,630,630,Ministerio del Ambiente
Anayansi Lobo,1022,2700,1,3722,3722,MEF
Anayansi Tejada,0,300,1,300,300,MINSA
Andrea Garzón,2750,0,1,2750,2750,MEF
Andy Monrroy,0,6800,2,6800,3400,MITRADEL
Angel Araúz,0,525,2,525,263,Ministerio del Ambiente
Angel Calderon,719,0,1,719,719,Ministerio de la Presidencia
Ángel Martínez,0,2415,1,2415,2415,MITRADEL
Ángel Mudarra,1106,2415,2,3521,1761,MEF
Angel Rangel,1251,2160,1,3411,3411,MEF
Angel Rodriguez,0,4800,2,4800,2400,Ministerio de Seguridad Pública
Ángel Valdespino,0,6800,2,6800,3400,MITRADEL
Ángela Jiménez,0,525,1,525,525,Ministerio del Ambiente
Angela Romero,3188,9900,3,13088,4363,MEF
Angélica Maytín,53808,51800,14,105608,7543,ANTAI
Angelo Gutierrez,3572,6700,3,10272,3424,MICI
Angely Véliz,0,500,1,500,500,Ministerio del Ambiente
Aniano Pinzón,0,9600,1,9600,9600,MITRADEL
Aníbal Nicholson,960,2800,2,3760,1880,MICI
Anibal Ortiz,0,1050,1,1050,1050,MINSA
Anibal Ruiz,972,1600,1,2572,2572,Ministerio de la Presidencia
Annie Domingo,0,420,1,420,420,MEF
Annjanette Vergara,0,3500,1,3500,3500,Ministerio de Seguridad Pública
Anthony Vega,0,720,2,720,360,Ministerio del Ambiente
Antonella Finis,0,2000,1,2000,2000,Ministerio del Ambiente
Antonio Corro,0,6800,2,6800,3400,MITRADEL
Antonio Lam,19003,42720,12,61723,5144,ANTAI
Antonio Velasquez,1115,2100,1,3215,3215,MIDES
Aquiles Medina,800,4300,4,5100,1275,Ministerio de Seguridad Pública
Aquino Rodríguez,0,315,1,315,315,MEF
Aracelis Arosemena,2398,8830,5,11228,2246,MINSA
Aracelis Casanova,0,5400,2,5400,2700,Ministerio de Seguridad Pública
Aracelis Guardia,0,6800,2,6800,3400,MITRADEL
Aracelis Vergara,0,400,1,400,400,MINSA
Aracely Méndez,0,12170,13,12170,936,MEF
Arelis Álvarez,1872,5700,2,7572,3786,MEF
Arelis Quintero,2360,9870,7,12230,1747,MINSA
Arelys Fuentes,0,5520,12,5520,460,Ministerio del Ambiente
Ariadnny Guevara,950,7175,10,8125,813,Ministerio del Ambiente
Ariel Gómez,0,3400,1,3400,3400,MITRADEL
Ariel Moraleas,0,3300,1,3300,3300,MICI
Aris Escobar,0,4635,4,4635,1159,Ministerio del Ambiente
Aris Ramos,0,500,1,500,500,MINSA
Aristides Abrego,0,4800,2,4800,2400,Ministerio de Seguridad Pública
Aristides Valdonedo,1825,4200,1,6025,6025,MEF
Armando Aparicio,2223,3900,1,6123,6123,Ministerio de la Presidencia
Armando Barba,0,400,1,400,400,MINSA
Armando Osorio,0,300,2,300,150,Ministerio de la Presidencia
Arquimedes Berroa,0,3150,1,3150,3150,MINSA
Arturo Rebollon,0,750,1,750,750,MINSA
Astrid Castroverde,1386,4665,2,6051,3025,MITRADEL
Astrid Tejada,0,2250,1,2250,2250,Ministerio de la Presidencia
Atala Milord,0,500,1,500,500,MINSA
Augusto Arosemena,42974,18125,9,61099,6789,MICI
Augusto Diaz,0,300,1,300,300,MINSA
Aura Teleguario,1179,0,1,1179,1179,Ministerio de la Presidencia
Aurelio Gracia,0,0,1,0,0,Ministerio del Ambiente
Aurelio Linero,0,11000,2,11000,5500,MITRADEL
Aurelio Nuñez,718,5950,13,6668,513,MINSA
Aurora Carreiro,2600,1980,2,4580,2290,MIDES
Avelino Cardenas,623,700,1,1323,1323,Ministerio de la Presidencia
Aziza Ladrón,0,0,1,0,0,Ministerio del Ambiente
Balbino Quintana,0,4800,2,4800,2400,Ministerio de Seguridad Pública
Barbara Sanhueza,915,0,1,915,915,Ministerio de la Presidencia
Barry Arce,0,1050,1,1050,1050,MINSA
Beatriz Manzur,724,6000,3,6724,2241,MITRADEL
Beatriz Melendez,1200,2000,1,3200,3200,MIDES
Bedsy González,0,420,2,420,210,Ministerio del Ambiente
